Institution,Datenset,Projekt
Archiwum Narodowe w Krakowie / National Archives in Krakow,Cartographic collection - selected objects,BackToTheMap
Archiwum Narodowe w Krakowie / National Archives in Krakow,Cartographic collection - selected objects,Paracosm - mindful maps
Biblioteka Jagiellońska / Jagiellonian Library,Średniowieczna astronomia / Medieval Astronomy,Loxper virtual guide
Biblioteka Jagiellońska / Jagiellonian Library,Chopin,
bpk-Bildagentur,Historische Porträtsammlung - Carte de Visite,Radikale Gespräche
Deutsches Damast-und Frottiermuseum Großschönau,Schatzkammer der Damaste,Abstract Visioner
Deutsches Stuhlbaumuseum Rabenau,"Stile, Stühle, Meisterwerke",
Digitales Archiv Mathematischer Modelle,Digitales Archiv Mathematischer Modelle,Klingende Mathemodelle in VR
Forschungsbibliothek Gotha der Universität Erfurt,Georg Forsters Entdeckung der Südsee,
Gedenkstätte Bautzner Straße Dresden,DORT & HIER - Verschobenes Gedächtnis,
Herzogin Anna Amalia Bibliothek,Stadtplan von Paris aus dem Jahr 1739,Liquitecture
Herzogin Anna Amalia Bibliothek,Stadtplan von Paris aus dem Jahr 1739,Chronoscope Hamburg / Chronoscope World
Historische Schauweberei Braunsdorf,Webmuster und Textilmaschinen,webweb
Leibniz-Institut für Länderkunde Leipzig,Messtischblätter des Deutschen Reiches zur Provinz Schlesien,
Městské muzeum v Kadani,Franziskaner Kloster in Kaaden Innenräume der Klosterkirche,
Moravská zemská knihovna v Brně / Moravian Library in Brno,Maps and pictures of Brno,Loxper virtual guide
"Moravskoslezská vědecká knihovna v Ostravě, příspěvková organizace / Moravian-Silesian Research Library in Ostrava, contributory organization",Kościoły drewniane na Śląskiu Cieszyńskim / Wooden churches in Těšín Silesia,
Museum - Naturalienkabinett Waldenburg,Barocke Seesternsammlung,Radikale Gespräche
Museum für Naturkunde Berlin,Ehrenberg Zeichnungen / Ehrenberg Drawings,
Musikinstrumentenmuseum der Universität Leipzig,Vier Musikinstrumente aus vier Jahrhunderten: Multimodale Forschungsdaten,Klingende Mathemodelle in VR
Musikinstrumentenmuseum der Universität Leipzig,Vier Musikinstrumente aus vier Jahrhunderten: Multimodale Forschungsdaten,Silbermann Reloaded
Musikinstrumentenmuseum der Universität Leipzig,Vier Musikinstrumente aus vier Jahrhunderten: Multimodale Forschungsdaten,Chronoscope Hamburg / Chronoscope World
"Muzeum Geologiczne im. Henryka Teisseyre, Uniwersytet Wrocławski / Geological Museum, University of Wroclaw",Fossils from Sośnica,
Muzeum Narodowe we Wrocławiu / National Museum in Wroclaw,The National Museum in Wrocław,
Muzeum Uniwersytetu Wrocławskiego,Ceremonial academic dresses and colours,
Národní knihovna České republiky / National Library of the Czech Republic,Památky ČR na starých vyobrazeních / Monuments of the Czech Republic in old pictures,
Naturkundemuseum Leipzig,Tagebücher der Museumsdirektoren 1932-1946,"#Tagmotion, Tags im Museum"
Ossolineum / Ossoliński National Institute,Wrocław - Dresden: Heritage and Urban History,
Regionální muzeum v Teplicích / Regional Museum in Teplice,Ex libris Josefa Váchala / Josef Váchal's ex libris,
Sächsische Landesbibliothek - Staats- und Universitätsbibliothek Dresden (SLUB),Vermessen - Karten und Ansichten im Dreiländereck,
